id,block,total,aCount,abCount,bCount,bcCount,cCount,dCount,fCount,letter
4848,"GEOG/HISTORY/POLI SCI/SLAVIC 254",384,227,76,32,7,9,4,8,A
4849,"GEOG/AFROAMER/ANTHRO/C&E SOC/HISTORY/LACIS/POLI SCI/SOC/SPANISH 260",1388,616,292,229,76,65,12,22,B
4850,"GEOG/AFRICAN/AFROAMER/ANTHRO/HISTORY/POLI SCI/SOC 277",5865,1626,1688,1319,507,283,82,81,B
4851,"GEOG 300",35,17,8,5,3,1,0,0,A
4852,"GEOG 301",164,81,36,22,8,3,1,1,A
4853,"GEOG 302",139,97,20,12,4,4,0,0,A
4854,"GEOG/URB R PL 305",2995,1411,770,425,154,82,19,32,A
4855,"GEOG 307",54,29,16,3,1,1,2,1,A
4856,"GEOG/CHICLA/GEN&WS 308",19,17,0,1,0,0,0,1,A
4857,"GEOG/ENVIR ST 309",489,249,97,72,20,18,6,5,A
4858,"GEOG/INTL ST 311",117,50,44,12,3,1,0,1,A
4859,"GEOG/INTL ST 315",20,8,11,1,0,0,0,0,A
4860,"GEOG 318",641,249,164,123,41,25,2,5,B
4861,"GEOG/GEOSCI 320",324,114,79,73,29,11,3,3,B
4862,"GEOG/ATM OCN/ENVIR ST 322",40,18,15,5,0,0,0,0,A
4863,"GEOG/ATM OCN 323",0,0,0,0,0,0,0,0,N/A
4864,"GEOG/GEOSCI 326",215,57,41,54,22,34,0,1,B
4865,"GEOG 329",150,47,24,46,16,8,0,2,B
4866,"GEOG/ATM OCN/ENVIR ST 332",618,136,137,166,72,37,12,6,B
4867,"GEOG/ENVIR ST 333",38,25,5,0,5,2,0,0,A
4868,"GEOG/ATM OCN/ENVIR ST/GEOSCI 335",241,53,62,56,22,20,3,2,B
4869,"GEOG/ENVIR ST 337",425,53,129,119,55,22,1,6,B
4870,"GEOG/BOTANY 338",553,337,96,77,8,12,3,0,A
4871,"GEOG/ENVIR ST 339",5012,887,828,1600,654,760,137,55,BC
4872,"GEOG 340",4020,1381,774,882,244,177,59,98,B
4873,"GEOG 342",1932,504,400,362,109,102,27,25,B
4874,"GEOG 344",261,120,52,48,16,6,1,2,A
4875,"GEOG/AMER IND/ENVIR ST 345",191,76,59,33,4,2,0,2,A
4876,"GEOG 348",40,9,10,13,3,2,0,0,B
4877,"GEOG 349",2634,1018,506,619,210,165,37,5,B
4878,"GEOG 355",163,36,33,60,9,19,3,0,B
4879,"GEOG 358",88,30,19,18,7,6,0,2,B
4880,"GEOG 359",76,51,7,4,2,3,0,2,A
4881,"GEOG 360",446,103,70,123,64,54,19,13,BC
4882,"GEOG 365",66,57,3,4,0,0,0,2,A
4883,"GEOG 370",1682,588,362,387,125,103,31,32,B
